Rank,Team,Current Value1 ($mil),1-Yr Value Change (%),Debt/Value2 (%),Revenue3 ($mil),Operating Income4 ($mil)
1,Los Angeles Lakers,607,4,20,209,51.1
2,New York Knicks,586,-4,0,202,21
3,Chicago Bulls,511,2,11,168,51
4,Detroit Pistons,479,0,0,171,46.9
5,Cleveland Cavaliers,476,0,42,159,5
6,Houston Rockets,470,0,15,160,30.3
7,Dallas Mavericks,446,-4,26,154,-17.4
8,Boston Celtics,433,-3,42,144,12.9
9,Phoenix Suns,429,-5,43,148,20.7
10,San Antonio Spurs,398,-4,12,133,19.1
11,Toronto Raptors,386,-3,38,133,18
12,Miami Heat,364,-7,45,126,8
13,Orlando Magic,361,4,30,107,-2.2
14,Philadelphia 76ers,344,-4,19,115,7.6
15,Utah Jazz,343,-4,6,118,7.9
16,Portland Trail Blazers,338,10,31,121,-20.3
17,Denver Nuggets,321,-3,11,115,4.6
18,Golden State Warriors,315,-6,24,113,11.9
19,Washington Wizards,313,-11,62,110,4.9
20,Oklahoma City Thunder,310,3,45,111,12.7
21,Atlanta Hawks,306,0,21,103,-2
22,Sacramento Kings,305,-13,31,109,-2.8
23,Los Angeles Clippers,295,-1,0,102,10
24,Indiana Pacers,281,-7,18,97,-15.7
25,Charlotte Bobcats,278,-2,58,96,-15.1
26,New Jersey Nets,269,-9,77,92,-13.9
27,Minnesota Timberwolves,268,-11,19,96,-6.8
28,New Orleans Hornets,267,-6,55,95,-0.1
29,Memphis Grizzlies,257,-13,58,88,-7.1
30,Milwaukee Bucks,254,-9,22,91,-7.4